experiment	measure	sample	condition	replicate
1112-1	Intensity	1112-1	1112	1
1112-2	Intensity	1112-2	1112	2
1112-3	Intensity	1112-3	1112	3
1112-4	Intensity	1112-4	1112	4
1112-5	Intensity	1112-5	1112	5
1112-6	Intensity	1112-6	1112	6
1112-7	Intensity	1112-7	1112	7
BMO-1	Intensity	BMO-1	BMO	1
BMO-2	Intensity	BMO-2	BMO	2
BMO-3	Intensity	BMO-3	BMO	3
BMO-4	Intensity	BMO-4	BMO	4
BMO-5	Intensity	BMO-5	BMO	5
BMO-6	Intensity	BMO-6	BMO	6
BMO-7	Intensity	BMO-7	BMO	7
